Object,W1 Z Score using Max Unc,Uncertainty in W1 Z Score using Max Unc,W1 Z Score using Min Unc,Uncertainty in W1 Z Score using Min Unc,W1 Flux Change,W1 Flux Change Unc,W1 NFD,W1 NFD Unc,W2 Z Score using Max Unc,Uncertainty in W2 Z Score using Max Unc,W2 Z Score using Min Unc,Uncertainty in W2 Z Score using Min Unc,W2 Flux Change,W2 Flux Change Unc,W2 NFD,W2 NFD Unc,Mean Z Score,Mean Z Score Unc,Mean NFD,Mean NFD Unc,W1 First mjd,W1 Last mjd,W2 First mjd,W2 Last mjd,W1 Epochs,W2 Epochs,W1 Min Flux,W1 Min Flux Unc,W1 Max Flux Unc,W2 Min Flux,W2 Min Flux Unc,W2 Max Flux Unc,W1 median_abs_dev of Flux,W2 median_abs_dev of Flux,W1 Mean Unc Counter,W2 Mean Unc Counter,W1 min mjd,W1 max mjd,W2 min mjd,W2 max mjd,Off spectrum 4000A flux,Redshift
115412.54-000153.2,11.096922566349246,1.8350375225768487,-7.212239737640988,1.1926487241178514,1.085127771802541,0.1794416574633239,0.3298374348748806,0.0565908577538767,7.034759357134669,1.0953341116659865,-15.739772183350658,2.450731930835734,1.016936612471536,0.1583402223862031,0.324931503980532,0.0510356014523643,10.27092346111889,0.865867249546729,0.3273844694277062,0.0381023549040084,55361.20944435,60458.256383905,55361.20944435,60458.256383905,24,24,3.289886644353057,0.1504564200964109,0.0977863696276593,3.12969533582827,0.0646093603277968,0.1445588343317183,0.1745074239975921,0.1847478235295176,6.0,5.0,2906.000321835003,1287.6758876500026,3842.170746345,0.0,16.877063897582634,0.731051
122029.31+331025.4,1.873803385792842,1.128790940809552,-3.578613985056474,2.1557795645016005,0.2598218948039428,0.1565183430141838,0.5913869531948022,0.3694170620491847,6.41985400202852,2.249958158732703,-3.185213362081129,1.1163177214083662,0.1837952097923,0.0644144760422134,0.5991337191481546,0.2383086802361902,3.764371183739741,0.8742865480619986,0.5952603361714783,0.2198067292014543,55352.6161265,60449.51960387,55352.6161265,60448.590414965,24,24,0.4393432986648216,0.0726040572939421,0.1386601693506959,0.3067682621061942,0.057702636809301,0.0286291884105503,0.0271449635526998,0.0278562493447674,1.0,7.0,0.0,1465.0685196600025,189.64576995000243,1287.7628853800052,2.920487716733978,0.7306934
082740.47+321212.8,2.723548329379025,1.5638292759538015,-2.2652530507108626,1.3006815410369452,0.1510048345024895,0.0867051920680965,0.7197994285996512,0.4723669260265343,2.178342097477894,,,,0.3143702389010872,,1.6880304577238163,,2.389047825855928,,1.2039149431617338,,55301.9065582,60399.76584733,55301.9065582,59146.65188919,20,12,0.2097873775702559,0.0666613535539009,0.0554441545514703,0.1862349328252003,,0.1443162849696878,0.0167275336555952,0.056966410326527,14.0,9.0,4730.422660480006,3270.520826775006,191.3871066000065,3113.449942170002,1.043073772893289,0.731
143334.60+331303.7,2.99590912004078,1.2154512796756436,-4.336336680115764,1.759267639894028,0.1466863853219578,0.0595112026456067,0.4008759798804724,0.166805683025733,3.3983056328317445,,,,0.1765161794201969,,0.7587332181920801,,3.576850477662763,,0.5798045990362762,,55210.6230156,60482.9920262,55210.6230156,60483.24771418,25,25,0.365914628673174,0.0338272593072828,0.0489622279730438,0.2326459092443614,,0.0519424085093574,0.0168463307553701,0.0123525111516135,0.0,13.0,3809.7976925600015,2357.463997339997,174.97023564999836,3445.3459267299986,1.5370139265616405,0.731
172614.91+584531.6,4.511713379467343,1.1614636262956035,-7.637130033652257,1.9660488150122788,0.3000219265950414,0.0772355257355488,0.4674522531452501,0.1236922447717131,3.5658560335125467,1.359943082989092,-3.868976792495711,1.4755470152890435,0.195769160346394,0.0746622726698829,0.3727768445731649,0.1466361262058086,4.895919059781964,0.7599765572666205,0.4201145488592075,0.0959191390251591,55245.7515662,60520.65410403,55245.7515662,60520.78150544,24,24,0.6418236826891848,0.0392846429578944,0.0664984455706852,0.5251644870017413,0.0505997246419541,0.0549010275531375,0.0453271780602875,0.0264163836420132,0.0,0.0,5274.902537829999,2556.327791359996,179.86729779999587,2556.393307010003,4.280733469177433,0.7320810000000001
124754.90+565715.4,4.134245623158687,,,,0.1154621345603657,,0.415769103212866,,1.518665161919709,,,,0.1816539658212305,,0.758140378991544,,2.826455392539198,,0.586954741102205,,55339.8863761,60434.96990243,55339.8863761,60434.90578778,22,23,0.2777073468618261,,0.0279282232080224,0.2396046574683982,,0.1196142312184247,0.0095082353966582,0.0173035682028599,2.0,5.0,188.2851653999969,2180.4397748099946,188.2851653999969,4940.359746265,1.4190972048366808,1.123
160557.96+430039.8,9.336089639698049,2.039540876553618,-5.252187637947152,1.1473809477336236,0.2407928106007839,0.0526030489159287,0.2564546650398003,0.0574068859712644,4.886606100860643,1.5102242619108606,-4.317879501859085,1.3344571363275382,0.301503197021322,0.093180713523256,0.3803419872877562,0.1222273181384915,5.948190720091231,0.7720817312756996,0.3183983261637783,0.0675186416040892,55227.890011,60502.476620685,55408.0533116,60502.41307916,24,23,0.9389293447378476,0.0458461934720403,0.0257916129657653,0.7927160479214013,0.0698266815670766,0.061699918266017,0.0335605936015458,0.0206384051637285,0.0,0.0,3653.01721659999,0.0,3450.6169504999925,180.16330059999743,4.610832688564636,1.1225053071975708
122527.96+570140.0,1.5898104387782324,1.3116101205253758,-1.87319191013406,1.545402777016747,0.1404974396885747,0.115911846663339,0.4441080392078914,0.3812227190494161,1.6223920195453538,1.1148697973605193,-3.291630337663728,2.2619312739009136,0.0977670201173623,0.0671832063975081,0.3450663440533474,0.2398648667142553,2.094256176530344,0.8088517557467406,0.3945871916306194,0.2252031948059782,55334.130838,60431.21655104,55334.130838,60431.31269122,23,23,0.3163586949228958,0.0750042955708257,0.0883737056076615,0.2833281825429128,0.0297017010077606,0.0602610336709865,0.0157756266492152,0.0164742372879413,1.0,9.0,4938.782587870002,1464.1467853600043,2906.160699935004,2021.0253670350064,0.5681796774396434,1.1200101375579834
165216.75+351743.3,1.809684526645561,,,,0.1700625697829688,,1.0549432615880363,,,,,,,,,,1.809684526645561,,1.0549432615880363,,55249.75889175,59794.89282589,,,11,5,0.1612054183150748,,0.0939735999722545,,,,0.0496704165751683,,8.0,2.0,181.4116664500034,2363.7967590100016,,,0.6417385690208001,1.1220344305038452
155326.23+430841.1,1.544066423128266,1.281150238499781,-1.9280567215522424,1.5997565206121749,0.1172206511643191,0.0972608839534306,0.2565740260863534,0.2156064596806112,2.916371462896905,1.3905187859896757,-3.018393063808997,1.4391624359669966,0.2120440995369332,0.1011021084301404,0.4696031984568731,0.235524244971663,2.3517219178466027,0.7161222778852906,0.3630886122716132,0.1596541695552287,56688.73426299,60498.19908793,55223.8539017,60498.26339346,22,25,0.4568687366852441,0.0607973042774109,0.0759168449028449,0.4515388741680529,0.0702506582324797,0.0727081931210177,0.0196253962996837,0.0292108969388734,1.0,0.0,3814.682954310003,1641.796783730002,4017.469198220002,0.0,3.950943733982608,1.122574
